molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4846926,CNC(=O)c1cc(-c2ccco2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4875801,CNC(=O)c1cc(-c2ccoc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4851687,CNC(=O)c1cc(-c2ccc(OC)nc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL3972284,CN(C)C(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,21180.0
CHEMBL4871767,O=C(c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1)N1CCCC1,25000.0
CHEMBL4852445,NCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,1980.0
CHEMBL4872478,NCCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,7390.0
CHEMBL4858998,O=C(NCCO)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,6550.0
CHEMBL4852750,O=C(NCCCO)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,12410.0
CHEMBL4860905,NC(=O)CCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,13390.0
CHEMBL4878505,O=C(NCCc1ccccc1)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4852604,O=C(NCC1CCCCC1)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,25000.0
CHEMBL4871514,CNCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,800.0
CHEMBL4866278,CN(C)CCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,490.0
CHEMBL4878237,CC(=O)NCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,3300.0
CHEMBL4868435,CS(=O)(=O)NCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,4370.0
CHEMBL3912981,CN(C)CCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,2630.0
CHEMBL4860141,CN(C)CCCCNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,2220.0
CHEMBL4878663,CN(C)C1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)C1,10620.0
CHEMBL4851874,CCN1CCC[C@@H]1CNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,2100.0
CHEMBL4847984,CN1CCCCC1CNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,521.0
CHEMBL4855466,CN1CCCC(NC(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(Cl)cc3)n2)C1,1700.0
CHEMBL4846703,CN1CCOC[C@H]1CNC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,2010.0
